"","ID","trial","trans","acc_et","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar","acc"
"105","78","2",1,1,"Female","Not Hispanic","Caucasian","f","c","d",2.43,29.16,6,0,"Sock","1","Right","ShoeSock","similar",2
"106","80","2",2,0,"Male","Not Hispanic","Caucasian","f","e","e",2.14,25.68,8,0,"Grapes","1","Left","BalloonsGrapes","similar",1
"107","81","2",4,1,"Male ","Hispanic","Caucasian","d","c","d",2.36,28.27,1,0,"Clock","1","Left","ClockBicycle","similar",2
"108","86","2",1,0,"Female","Not Hispanic","Caucasian","f","g","d",2.21,26.53,6,0,"Sock","1","Left","ShoeSock","similar",1
"109","87","2",1,1,"Male","Hispanic ","Caucasian","e","g","e",2.34,28.11,7,0,"Leaf","1","Right","JacketLeaf","similar",2
"110","88","2",1,1,"Male ","Not Hispanic ","Native Hawaiian & Caucasian","c","c","g",2.25,26.99,8,0,"Grapes","1","Right","BalloonsGrapes","similar",2
"111","89","2",1,1,"Female","Not Hispanic","Caucasian ","d","b","b",2.21,26.47,1,0,"Clock","1","Left","ClockBicycle","similar",2
"112","90","2",1,1,"Male","Hispanic","Caucasian","d","g","e",2.52,30.18,2,0,"Shoe","1","Left","ShoeSock","similar",2
"113","91","2",2,1,"Male","Not Hispanic","African American","f","g","c",2.46,29.49,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"114","92","2",2,1,"Female","Not Hispanic","Caucasian ","d","g","g",2.55,30.54,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"115","94","2",5,1,"Female","Hispanic, american indian, asian-american","","f","f","e",2.33,27.95,6,0,"Sock","1","Right","ShoeSock","similar",2
"116","95","2",1,1,"Female","Not Hispanic ","Caucasian","e","e","g",2.85,34.16,6,0,"Sock","1","Right","ShoeSock","similar",2
"117","97","2",3,1," Female","Not Hispanic ","Caucasian","d","c","c",2.34,28.11,8,0,"Grapes","1","Right","BalloonsGrapes","similar",2
"118","101","2",2,1,"Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"119","103","2",5,1,"Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Sock","1","Right","ShoeSock","similar",2
"120","106","2",0,0,"Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Shoe","1","Right","ShoeSock","similar",1
"121","107","2",0,1,"Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"122","108","2",2,1,"Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"123","109","2",0,0,"Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Clock","1","Right","ClockBicycle","similar",1
"124","110","2",1,1,"Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Sock","1","Right","ShoeSock","similar",2
"125","111","2",2,1,"Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Leaf","1","Right","JacketLeaf","similar",2
"126","112","2",1,0,"Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Grapes","1","Left","BalloonsGrapes","similar",1
"127","114","2",1,0,"Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Shoe","1","Right","ShoeSock","similar",1
"128","116","2",1,1,"Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"129","117","2",1,1,"Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Bicycle","1","Right","ClockBicycle","similar",2
"130","118","2",2,1,"Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Sock","1","Right","ShoeSock","similar",2
"131","123","2",0,1,"Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"132","122","3",0,1,"Male","Hispanic","Caucasian","b","d","d",2.43,29.16,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"133","34","3",2,1,"Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"134","35","3",0,1,"Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"135","36","3",2,1,"Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"136","37","3",0,0,"Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Cake","1","Right","CakeDoll","dissimilar",1
"137","38","3",0,1,"Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"138","39","3",2,1,"Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"139","41","3",1,1,"Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"140","42","3",1,1,"Male"," Not Hispanic","Caucasian","c","d","d",2.53,30.31,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"141","43","3",3,1,"Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"142","44","3",2,1,"Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"143","45","3",0,1,"Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Cake","1","Left","CakeDoll","dissimilar",2
"144","46","3",0,1,"Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"145","48","3",0,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"146","49","3",6,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"147","50","3",1,1,"Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"148","51","3",1,1,"Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"149","52","3",1,1,"Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"150","53","3",0,1,"Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Cake","1","Left","CakeDoll","dissimilar",2
"151","54","3",0,1,"Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"152","55","3",2,1,"Female","Not Hispanic","Caucasian","f","h","h",2.28,27.35,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"153","56","3",3,1,"Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"154","57","3",0,1,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"155","58","3",1,1,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"156","59","3",1,0,"Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Bear","1","Left","AppleBear","dissimilar",1
"157","62","3",1,1,"Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"158","63","3",0,1,"Male","Hispanic","","e","c","c",2.36,28.34,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"159","64","3",2,1,"","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"160","65","3",1,1,"Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"161","66","3",1,1,"Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"162","68","3",2,1,"Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"163","69","3",1,1,"Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Cake","1","Left","CakeDoll","dissimilar",2
"164","70","3",0,1,"Male","Hispanic","","b","b","b",2.55,30.61,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"165","71","3",1,1,"Female","Not Hispanic","Caucasian","e","d","b",2.56,30.71,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"166","72","3",0,1,"Female","Hispanic","Caucasian","d","d","d",2.48,29.75,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"167","74","3",5,1,"Male","Not Hispanic","Caucasian","f","d","h",2.52,30.21,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"168","75","3",2,1,"Female","Not Hispanic","Caucasian","f","e","b",2.56,30.71,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"169","76","3",2,1,"Female","Not Hispanic","Caucasian","d","d","d",2.22,26.7,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"170","78","3",0,1,"Female","Not Hispanic","Caucasian","f","c","d",2.43,29.16,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"171","79","3",1,1,"Male","Hispanic","Caucasian","f","e","e",2.49,29.85,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"172","80","3",1,1,"Male","Not Hispanic","Caucasian","f","e","e",2.14,25.68,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"173","81","3",2,1,"Male ","Hispanic","Caucasian","d","c","d",2.36,28.27,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"174","83","3",1,1,"Male ","Not hipanic ","Caucasian ","d","g","g",2.41,28.9,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"175","86","3",0,1,"Female","Not Hispanic","Caucasian","f","g","d",2.21,26.53,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"176","87","3",1,1,"Male","Hispanic ","Caucasian","e","g","e",2.34,28.11,7,0,"Apple","1","Left","AppleBear","dissimilar",2
"177","88","3",1,0,"Male ","Not Hispanic ","Native Hawaiian & Caucasian","c","c","g",2.25,26.99,8,0,"Spoon","1","Right","SpoonBall","dissimilar",1
"178","89","3",1,1,"Female","Not Hispanic","Caucasian ","d","b","b",2.21,26.47,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"179","90","3",1,1,"Male","Hispanic","Caucasian","d","g","e",2.52,30.18,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"180","91","3",0,0,"Male","Not Hispanic","African American","f","g","c",2.46,29.49,3,0,"Bear","1","Left","AppleBear","dissimilar",1
"181","92","3",2,1,"Female","Not Hispanic","Caucasian ","d","g","g",2.55,30.54,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"182","93","3",2,1,"Female","Not Hispanic","Asian","","","",2.68,32.15,5,0,"Cake","1","Left","CakeDoll","dissimilar",2
"183","94","3",6,1,"Female","Hispanic, american indian, asian-american","","f","f","e",2.33,27.95,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"184","95","3",0,1,"Female","Not Hispanic ","Caucasian","e","e","g",2.85,34.16,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"185","97","3",1,1," Female","Not Hispanic ","Caucasian","d","c","c",2.34,28.11,8,0,"Spoon","1","Left","SpoonBall","dissimilar",2
"186","98","3",2,1,"Male","Hispanic","American Indian or Alaskan / Caucasian","e","g","d",2.64,31.73,1,0,"Doll","1","Right","CakeDoll","dissimilar",2
"187","101","3",2,1,"Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"188","103","3",2,1,"Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"189","106","3",2,1,"Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar",2
"190","107","3",0,1,"Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Bear","1","Right","AppleBear","dissimilar",2
"191","108","3",1,1,"Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Ball","1","Right","SpoonBall","dissimilar",2
"192","109","3",0,0,"Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Doll","1","Left","CakeDoll","dissimilar",1
"193","110","3",1,1,"Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar",2
"194","111","3",0,1,"Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Apple","1","Left","AppleBear","dissimilar",2
